1788664305.645073 server started (57718): version 3.7c, socket /tmp/tmux-1000/default, protocol 8
1788664305.645089 on Linux 7.2.3-arch1-2 #1 SMP PREEMPT_DYNAMIC Thu, 03 Sep 2026 17:55:06 +0000
1788664305.645095 using libevent 2.1.13-stable poll
1788664305.645097 using ncurses 6.6 20251230
1788664305.645209 input_key_build: 0x200000021 (KP-) is -
1788664305.645211 input_key_build: 0x200000022 (KP7) is 7
1788664305.645212 input_key_build: 0x200000023 (KP8) is 8
1788664305.645214 input_key_build: 0x200000024 (KP9) is 9
1788664305.645216 input_key_build: 0x200000025 (KP+) is +
1788664305.645218 input_key_build: 0x200000026 (KP4) is 4
1788664305.645220 input_key_build: 0x200000027 (KP5) is 5
1788664305.645221 input_key_build: 0x200000028 (KP6) is 6
1788664305.645223 input_key_build: 0x200000029 (KP1) is 1
1788664305.645225 input_key_build: 0x20000002a (KP2) is 2
1788664305.645232 input_key_build: 0x20000002b (KP3) is 3
1788664305.645234 input_key_build: 0x20000002c (KPEnter) is \n
1788664305.645236 input_key_build: 0x20000002d (KP0) is 0
1788664305.645238 input_key_build: 0x20000002e (KP.) is .
1788664305.645241 input_key_build: 0x200200000008 (C-F1) is \033[1;5P
1788664305.645242 input_key_build: 0x200200000009 (C-F2) is \033[1;5Q
1788664305.645244 input_key_build: 0x20020000000a (C-F3) is \033[1;5R
1788664305.645246 input_key_build: 0x20020000000b (C-F4) is \033[1;5S
1788664305.645248 input_key_build: 0x20020000000c (C-F5) is \033[15;5~
1788664305.645250 input_key_build: 0x20020000000d (C-F6) is \033[17;5~
1788664305.645252 input_key_build: 0x20020000000e (C-F7) is \033[18;5~
1788664305.645254 input_key_build: 0x20020000000f (C-F8) is \033[19;5~
1788664305.645256 input_key_build: 0x200200000010 (C-F9) is \033[20;5~
1788664305.645258 input_key_build: 0x200200000011 (C-F10) is \033[21;5~
1788664305.645259 input_key_build: 0x200200000012 (C-F11) is \033[23;5~
1788664305.645261 input_key_build: 0x200200000013 (C-F12) is \033[24;5~
1788664305.645263 input_key_build: 0x200200000014 (C-IC) is \033[2;5~
1788664305.645265 input_key_build: 0x200200000015 (C-DC) is \033[3;5~
1788664305.645267 input_key_build: 0x200200000016 (C-Home) is \033[1;5H
1788664305.645269 input_key_build: 0x200200000017 (C-End) is \033[1;5F
1788664305.645271 input_key_build: 0x200200000018 (C-NPage) is \033[6;5~
1788664305.645273 input_key_build: 0x200200000019 (C-PPage) is \033[5;5~
1788664305.645279 input_key_build: 0x20020000001b (C-Up) is \033[1;5A
1788664305.645281 input_key_build: 0x20020000001c (C-Down) is \033[1;5B
1788664305.645283 input_key_build: 0x20020000001d (C-Left) is \033[1;5D
1788664305.645285 input_key_build: 0x20020000001e (C-Right) is \033[1;5C
1788664305.645287 input_key_build: 0x400200000008 (S-F1) is \033[1;2P
1788664305.645289 input_key_build: 0x400200000009 (S-F2) is \033[1;2Q
1788664305.645290 input_key_build: 0x40020000000a (S-F3) is \033[1;2R
1788664305.645292 input_key_build: 0x40020000000b (S-F4) is \033[1;2S
1788664305.645294 input_key_build: 0x40020000000c (S-F5) is \033[15;2~
1788664305.645296 input_key_build: 0x40020000000d (S-F6) is \033[17;2~
1788664305.645298 input_key_build: 0x40020000000e (S-F7) is \033[18;2~
1788664305.645300 input_key_build: 0x40020000000f (S-F8) is \033[19;2~
1788664305.645302 input_key_build: 0x400200000010 (S-F9) is \033[20;2~
1788664305.645303 input_key_build: 0x400200000011 (S-F10) is \033[21;2~
1788664305.645305 input_key_build: 0x400200000012 (S-F11) is \033[23;2~
1788664305.645307 input_key_build: 0x400200000013 (S-F12) is \033[24;2~
1788664305.645309 input_key_build: 0x400200000014 (S-IC) is \033[2;2~
1788664305.645311 input_key_build: 0x400200000015 (S-DC) is \033[3;2~
1788664305.645313 input_key_build: 0x400200000016 (S-Home) is \033[1;2H
1788664305.645315 input_key_build: 0x400200000017 (S-End) is \033[1;2F
1788664305.645317 input_key_build: 0x400200000018 (S-NPage) is \033[6;2~
1788664305.645319 input_key_build: 0x400200000019 (S-PPage) is \033[5;2~
1788664305.645321 input_key_build: 0x40020000001b (S-Up) is \033[1;2A
1788664305.645322 input_key_build: 0x40020000001c (S-Down) is \033[1;2B
1788664305.645324 input_key_build: 0x40020000001d (S-Left) is \033[1;2D
1788664305.645326 input_key_build: 0x40020000001e (S-Right) is \033[1;2C
1788664305.645328 input_key_build: 0x600200000008 (C-S-F1) is \033[1;6P
1788664305.645330 input_key_build: 0x600200000009 (C-S-F2) is \033[1;6Q
1788664305.645332 input_key_build: 0x60020000000a (C-S-F3) is \033[1;6R
1788664305.645334 input_key_build: 0x60020000000b (C-S-F4) is \033[1;6S
1788664305.645336 input_key_build: 0x60020000000c (C-S-F5) is \033[15;6~
1788664305.645338 input_key_build: 0x60020000000d (C-S-F6) is \033[17;6~
1788664305.645340 input_key_build: 0x60020000000e (C-S-F7) is \033[18;6~
1788664305.645341 input_key_build: 0x60020000000f (C-S-F8) is \033[19;6~
1788664305.645343 input_key_build: 0x600200000010 (C-S-F9) is \033[20;6~
1788664305.645345 input_key_build: 0x600200000011 (C-S-F10) is \033[21;6~
1788664305.645347 input_key_build: 0x600200000012 (C-S-F11) is \033[23;6~
1788664305.645349 input_key_build: 0x600200000013 (C-S-F12) is \033[24;6~
1788664305.645351 input_key_build: 0x600200000014 (C-S-IC) is \033[2;6~
1788664305.645353 input_key_build: 0x600200000015 (C-S-DC) is \033[3;6~
1788664305.645355 input_key_build: 0x600200000016 (C-S-Home) is \033[1;6H
1788664305.645357 input_key_build: 0x600200000017 (C-S-End) is \033[1;6F
1788664305.645359 input_key_build: 0x600200000018 (C-S-NPage) is \033[6;6~
1788664305.645361 input_key_build: 0x600200000019 (C-S-PPage) is \033[5;6~
1788664305.645363 input_key_build: 0x60020000001b (C-S-Up) is \033[1;6A
1788664305.645365 input_key_build: 0x60020000001c (C-S-Down) is \033[1;6B
1788664305.645367 input_key_build: 0x60020000001d (C-S-Left) is \033[1;6D
1788664305.645368 input_key_build: 0x60020000001e (C-S-Right) is \033[1;6C
1788664305.645371 input_key_build: 0x200020000001f (KP/[K]) is \033Oo
1788664305.645373 input_key_build: 0x2000200000020 (KP*[K]) is \033Oj
1788664305.645375 input_key_build: 0x2000200000021 (KP-[K]) is \033Om
1788664305.645377 input_key_build: 0x2000200000022 (KP7[K]) is \033Ow
1788664305.645378 input_key_build: 0x2000200000023 (KP8[K]) is \033Ox
1788664305.645380 input_key_build: 0x2000200000024 (KP9[K]) is \033Oy
1788664305.645382 input_key_build: 0x2000200000025 (KP+[K]) is \033Ok
1788664305.645384 input_key_build: 0x2000200000026 (KP4[K]) is \033Ot
1788664305.645386 input_key_build: 0x2000200000027 (KP5[K]) is \033Ou
1788664305.645391 input_key_build: 0x2000200000028 (KP6[K]) is \033Ov
1788664305.645393 input_key_build: 0x2000200000029 (KP1[K]) is \033Oq
1788664305.645395 input_key_build: 0x200020000002a (KP2[K]) is \033Or
1788664305.645397 input_key_build: 0x200020000002b (KP3[K]) is \033Os
1788664305.645399 input_key_build: 0x200020000002c (KPEnter[K]) is \033OM
1788664305.645400 input_key_build: 0x200020000002d (KP0[K]) is \033Op
1788664305.645402 input_key_build: 0x200020000002e (KP.[K]) is \033On
1788664305.645404 input_key_build: 0x400020000001b (Up[C]) is \033OA
1788664305.645406 input_key_build: 0x400020000001c (Down[C]) is \033OB
1788664305.645408 input_key_build: 0x400020000001d (Left[C]) is \033OD
1788664305.645410 input_key_build: 0x400020000001e (Right[C]) is \033OC
1788664305.645412 input_key_build: 0x8000200000005 (PasteStart[I]) is \033[200~
1788664305.645414 input_key_build: 0x8000200000006 (PasteEnd[I]) is \033[201~
1788664305.645416 input_key_build: 0x8100200000008 (M-F1[I]) is \033[1;3P
1788664305.645418 input_key_build: 0x8100200000009 (M-F2[I]) is \033[1;3Q
1788664305.645420 input_key_build: 0x810020000000a (M-F3[I]) is \033[1;3R
1788664305.645422 input_key_build: 0x810020000000b (M-F4[I]) is \033[1;3S
1788664305.645424 input_key_build: 0x810020000000c (M-F5[I]) is \033[15;3~
1788664305.645426 input_key_build: 0x810020000000d (M-F6[I]) is \033[17;3~
1788664305.645428 input_key_build: 0x810020000000e (M-F7[I]) is \033[18;3~
1788664305.645430 input_key_build: 0x810020000000f (M-F8[I]) is \033[19;3~
1788664305.645432 input_key_build: 0x8100200000010 (M-F9[I]) is \033[20;3~
1788664305.645434 input_key_build: 0x8100200000011 (M-F10[I]) is \033[21;3~
1788664305.645438 input_key_build: 0x8100200000012 (M-F11[I]) is \033[23;3~
1788664305.645440 input_key_build: 0x8100200000013 (M-F12[I]) is \033[24;3~
1788664305.645442 input_key_build: 0x8100200000014 (M-IC[I]) is \033[2;3~
1788664305.645444 input_key_build: 0x8100200000015 (M-DC[I]) is \033[3;3~
1788664305.645446 input_key_build: 0x8100200000016 (M-Home[I]) is \033[1;3H
1788664305.645448 input_key_build: 0x8100200000017 (M-End[I]) is \033[1;3F
1788664305.645450 input_key_build: 0x8100200000018 (M-NPage[I]) is \033[6;3~
1788664305.645452 input_key_build: 0x8100200000019 (M-PPage[I]) is \033[5;3~
1788664305.645454 input_key_build: 0x810020000001b (M-Up[I]) is \033[1;3A
1788664305.645456 input_key_build: 0x810020000001c (M-Down[I]) is \033[1;3B
1788664305.645458 input_key_build: 0x810020000001d (M-Left[I]) is \033[1;3D
1788664305.645460 input_key_build: 0x810020000001e (M-Right[I]) is \033[1;3C
1788664305.645462 input_key_build: 0x8300200000008 (C-M-F1[I]) is \033[1;7P
1788664305.645464 input_key_build: 0x8300200000009 (C-M-F2[I]) is \033[1;7Q
1788664305.645466 input_key_build: 0x830020000000a (C-M-F3[I]) is \033[1;7R
1788664305.645467 input_key_build: 0x830020000000b (C-M-F4[I]) is \033[1;7S
1788664305.645469 input_key_build: 0x830020000000c (C-M-F5[I]) is \033[15;7~
1788664305.645471 input_key_build: 0x830020000000d (C-M-F6[I]) is \033[17;7~
1788664305.645473 input_key_build: 0x830020000000e (C-M-F7[I]) is \033[18;7~
1788664305.645475 input_key_build: 0x830020000000f (C-M-F8[I]) is \033[19;7~
1788664305.645477 input_key_build: 0x8300200000010 (C-M-F9[I]) is \033[20;7~
1788664305.645479 input_key_build: 0x8300200000011 (C-M-F10[I]) is \033[21;7~
1788664305.645481 input_key_build: 0x8300200000012 (C-M-F11[I]) is \033[23;7~
1788664305.645483 input_key_build: 0x8300200000013 (C-M-F12[I]) is \033[24;7~
1788664305.645485 input_key_build: 0x8300200000014 (C-M-IC[I]) is \033[2;7~
1788664305.645487 input_key_build: 0x8300200000015 (C-M-DC[I]) is \033[3;7~
1788664305.645489 input_key_build: 0x8300200000016 (C-M-Home[I]) is \033[1;7H
1788664305.645491 input_key_build: 0x8300200000017 (C-M-End[I]) is \033[1;7F
1788664305.645493 input_key_build: 0x8300200000018 (C-M-NPage[I]) is \033[6;7~
1788664305.645495 input_key_build: 0x8300200000019 (C-M-PPage[I]) is \033[5;7~
1788664305.645497 input_key_build: 0x830020000001b (C-M-Up[I]) is \033[1;7A
1788664305.645499 input_key_build: 0x830020000001c (C-M-Down[I]) is \033[1;7B
1788664305.645503 input_key_build: 0x830020000001d (C-M-Left[I]) is \033[1;7D
1788664305.645505 input_key_build: 0x830020000001e (C-M-Right[I]) is \033[1;7C
1788664305.645507 input_key_build: 0x8500200000008 (M-S-F1[I]) is \033[1;4P
1788664305.645509 input_key_build: 0x8500200000009 (M-S-F2[I]) is \033[1;4Q
1788664305.645511 input_key_build: 0x850020000000a (M-S-F3[I]) is \033[1;4R
1788664305.645513 input_key_build: 0x850020000000b (M-S-F4[I]) is \033[1;4S
1788664305.645515 input_key_build: 0x850020000000c (M-S-F5[I]) is \033[15;4~
1788664305.645517 input_key_build: 0x850020000000d (M-S-F6[I]) is \033[17;4~
1788664305.645519 input_key_build: 0x850020000000e (M-S-F7[I]) is \033[18;4~
1788664305.645521 input_key_build: 0x850020000000f (M-S-F8[I]) is \033[19;4~
1788664305.645523 input_key_build: 0x8500200000010 (M-S-F9[I]) is \033[20;4~
1788664305.645525 input_key_build: 0x8500200000011 (M-S-F10[I]) is \033[21;4~
1788664305.645527 input_key_build: 0x8500200000012 (M-S-F11[I]) is \033[23;4~
1788664305.645529 input_key_build: 0x8500200000013 (M-S-F12[I]) is \033[24;4~
1788664305.645531 input_key_build: 0x8500200000014 (M-S-IC[I]) is \033[2;4~
1788664305.645533 input_key_build: 0x8500200000015 (M-S-DC[I]) is \033[3;4~
1788664305.645535 input_key_build: 0x8500200000016 (M-S-Home[I]) is \033[1;4H
1788664305.645537 input_key_build: 0x8500200000017 (M-S-End[I]) is \033[1;4F
1788664305.645539 input_key_build: 0x8500200000018 (M-S-NPage[I]) is \033[6;4~
1788664305.645541 input_key_build: 0x8500200000019 (M-S-PPage[I]) is \033[5;4~
1788664305.645543 input_key_build: 0x850020000001b (M-S-Up[I]) is \033[1;4A
1788664305.645545 input_key_build: 0x850020000001c (M-S-Down[I]) is \033[1;4B
1788664305.645547 input_key_build: 0x850020000001d (M-S-Left[I]) is \033[1;4D
1788664305.645549 input_key_build: 0x850020000001e (M-S-Right[I]) is \033[1;4C
1788664305.645551 input_key_build: 0x8700200000008 (C-M-S-F1[I]) is \033[1;8P
1788664305.645553 input_key_build: 0x8700200000009 (C-M-S-F2[I]) is \033[1;8Q
1788664305.645555 input_key_build: 0x870020000000a (C-M-S-F3[I]) is \033[1;8R
1788664305.645557 input_key_build: 0x870020000000b (C-M-S-F4[I]) is \033[1;8S
1788664305.645559 input_key_build: 0x870020000000c (C-M-S-F5[I]) is \033[15;8~
1788664305.645561 input_key_build: 0x870020000000d (C-M-S-F6[I]) is \033[17;8~
1788664305.645563 input_key_build: 0x870020000000e (C-M-S-F7[I]) is \033[18;8~
1788664305.645565 input_key_build: 0x870020000000f (C-M-S-F8[I]) is \033[19;8~
1788664305.645567 input_key_build: 0x8700200000010 (C-M-S-F9[I]) is \033[20;8~
1788664305.645569 input_key_build: 0x8700200000011 (C-M-S-F10[I]) is \033[21;8~
1788664305.645571 input_key_build: 0x8700200000012 (C-M-S-F11[I]) is \033[23;8~
1788664305.645573 input_key_build: 0x8700200000013 (C-M-S-F12[I]) is \033[24;8~
1788664305.645575 input_key_build: 0x8700200000014 (C-M-S-IC[I]) is \033[2;8~
1788664305.645577 input_key_build: 0x8700200000015 (C-M-S-DC[I]) is \033[3;8~
1788664305.645579 input_key_build: 0x8700200000016 (C-M-S-Home[I]) is \033[1;8H
1788664305.645581 input_key_build: 0x8700200000017 (C-M-S-End[I]) is \033[1;8F
1788664305.645583 input_key_build: 0x8700200000018 (C-M-S-NPage[I]) is \033[6;8~
1788664305.645585 input_key_build: 0x8700200000019 (C-M-S-PPage[I]) is \033[5;8~
1788664305.645587 input_key_build: 0x870020000001b (C-M-S-Up[I]) is \033[1;8A
1788664305.645589 input_key_build: 0x870020000001c (C-M-S-Down[I]) is \033[1;8B
1788664305.645591 input_key_build: 0x870020000001d (C-M-S-Left[I]) is \033[1;8D
1788664305.645593 input_key_build: 0x870020000001e (C-M-S-Right[I]) is \033[1;8C
1788664305.645619 yylex_token: end at WS
1788664305.645621 yylex_token: bind
1788664305.645623 yylex_token: end at WS
1788664305.645624 yylex_token: -N
1788664305.645627 yylex_token: end at WS
1788664305.645628 yylex_token: Send the prefix key
1788664305.645630 yylex_token: end at WS
1788664305.645632 yylex_token: C-b
1788664305.645634 yylex_token: end at WS
1788664305.645636 yylex_token: send-prefix
1788664305.645639 cmd_parse_build_commands 0:0: bind
1788664305.645643 cmd_parse_build_commands 0:1: -N
1788664305.645645 cmd_parse_build_commands 0:2: Send the prefix key
1788664305.645647 cmd_parse_build_commands 0:3: C-b
1788664305.645649 cmd_parse_build_commands 0:4 0:0: send-prefix
1788664305.645655 cmd_parse_build_commands 0:0: send-prefix
1788664305.645661 args_parse: flags end at 1 of 1
1788664305.645665 cmd_parse_build_commands: send-prefix
1788664305.645667 args_parse_flags: next -N
1788664305.645669 args_parse_flag_argument: -N = Send the prefix key
1788664305.645671 args_parse_flags: next C-b
1788664305.645673 args_parse: flags end at 3 of 5
1788664305.645675 args_parse: 3 = C-b (type STRING)
1788664305.645677 args_parse: 4 = send-prefix (type COMMANDS)
1788664305.645682 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1788664305.645686 cmdq_get_command: [bind-key/0x55cc012875c0] group 6
1788664305.645688 cmdq_append <global>: [bind-key/0x55cc012875c0]
1788664305.645690 yylex_token: end at WS
1788664305.645692 yylex_token: bind
1788664305.645694 yylex_token: end at WS
1788664305.645695 yylex_token: -N
1788664305.645698 yylex_token: end at WS
1788664305.645700 yylex_token: Rotate through the panes
1788664305.645701 yylex_token: end at WS
1788664305.645703 yylex_token: C-o
1788664305.645705 yylex_token: end at WS
1788664305.645707 yylex_token: rotate-window
1788664305.645709 cmd_parse_build_commands 0:0: bind
1788664305.645711 cmd_parse_build_commands 0:1: -N
1788664305.645713 cmd_parse_build_commands 0:2: Rotate through the panes
1788664305.645715 cmd_parse_build_commands 0:3: C-o
1788664305.645717 cmd_parse_build_commands 0:4 0:0: rotate-window
1788664305.645719 cmd_parse_build_commands 0:0: rotate-window
1788664305.645722 args_parse: flags end at 1 of 1
1788664305.645724 cmd_parse_build_commands: rotate-window
1788664305.645726 args_parse_flags: next -N
1788664305.645728 args_parse_flag_argument: -N = Rotate through the panes
1788664305.645730 args_parse_flags: next C-o
1788664305.645732 args_parse: flags end at 3 of 5
1788664305.645734 args_parse: 3 = C-o (type STRING)
1788664305.645736 args_parse: 4 = rotate-window (type COMMANDS)
1788664305.645740 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1788664305.645743 cmdq_get_command: [bind-key/0x55cc01287b00] group 14
1788664305.645745 cmdq_append <global>: [bind-key/0x55cc01287b00]
1788664305.645747 yylex_token: end at WS
1788664305.645748 yylex_token: bind
1788664305.645750 yylex_token: end at WS
1788664305.645752 yylex_token: -N
1788664305.645754 yylex_token: end at WS
1788664305.645756 yylex_token: Suspend the current client
1788664305.645757 yylex_token: end at WS
1788664305.645759 yylex_token: C-z
1788664305.645761 yylex_token: end at WS
1788664305.645763 yylex_token: suspend-client
1788664305.645765 cmd_parse_build_commands 0:0: bind
1788664305.645767 cmd_parse_build_commands 0:1: -N
1788664305.645769 cmd_parse_build_commands 0:2: Suspend the current client
1788664305.645770 cmd_parse_build_commands 0:3: C-z
1788664305.645772 cmd_parse_build_commands 0:4 0:0: suspend-client
1788664305.645775 cmd_parse_build_commands 0:0: suspend-client
1788664305.645778 args_parse: flags end at 1 of 1
1788664305.645779 cmd_parse_build_commands: suspend-client
1788664305.645781 args_parse_flags: next -N
1788664305.645785 args_parse_flag_argument: -N = Suspend the current client
1788664305.645787 args_parse_flags: next C-z
1788664305.645789 args_parse: flags end at 3 of 5
1788664305.645790 args_parse: 3 = C-z (type STRING)
1788664305.645792 args_parse: 4 = suspend-client (type COMMANDS)
1788664305.645796 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1788664305.645799 cmdq_get_command: [bind-key/0x55cc01288120] group 22
1788664305.645801 cmdq_append <global>: [bind-key/0x55cc01288120]
1788664305.645802 yylex_token: end at WS
1788664305.645804 yylex_token: bind
1788664305.645806 yylex_token: end at WS
1788664305.645807 yylex_token: -N
1788664305.645809 yylex_token: end at WS
1788664305.645810 yylex_token: Select next layout
1788664305.645814 yylex_token: end at WS
1788664305.645815 yylex_token: Space
1788664305.645817 yylex_token: end at WS
1788664305.645818 yylex_token: next-layout
1788664305.645820 cmd_parse_build_commands 0:0: bind
1788664305.645822 cmd_parse_build_commands 0:1: -N
1788664305.645823 cmd_parse_build_commands 0:2: Select next layout
1788664305.645825 cmd_parse_build_commands 0:3: Space
1788664305.645826 cmd_parse_build_commands 0:4 0:0: next-layout
1788664305.645828 cmd_parse_build_commands 0:0: next-layout
1788664305.645830 args_parse: flags end at 1 of 1
1788664305.645832 cmd_parse_build_commands: next-layout
1788664305.645834 args_parse_flags: next -N
1788664305.645835 args_parse_flag_argument: -N = Select next layout
1788664305.645836 args_parse_flags: next Space
1788664305.645838 args_parse: flags end at 3 of 5
1788664305.645839 args_parse: 3 = Space (type STRING)
1788664305.645841 args_parse: 4 = next-layout (type COMMANDS)
1788664305.645844 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1788664305.645846 cmdq_get_command: [bind-key/0x55cc012885b0] group 30
1788664305.645848 cmdq_append <global>: [bind-key/0x55cc012885b0]
1788664305.645849 yylex_token: end at WS
1788664305.645850 yylex_token: bind
1788664305.645852 yylex_token: end at WS
1788664305.645853 yylex_token: -N
1788664305.645855 yylex_token: end at WS
1788664305.645856 yylex_token: Break pane to a new window
1788664305.645858 yylex_token: end at WS
1788664305.645859 yylex_token: !
1788664305.645860 yylex_token: end at WS
1788664305.645862 yylex_token: break-pane
1788664305.645863 cmd_parse_build_commands 0:0: bind
1788664305.645865 cmd_parse_build_commands 0:1: -N
1788664305.645866 cmd_parse_build_commands 0:2: Break pane to a new window
1788664305.645868 cmd_parse_build_commands 0:3: !
1788664305.645869 cmd_parse_build_commands 0:4 0:0: break-pane
1788664305.645871 cmd_parse_build_commands 0:0: break-pane
1788664305.645873 args_parse: flags end at 1 of 1
1788664305.645874 cmd_parse_build_commands: break-pane
1788664305.645876 args_parse_flags: next -N
1788664305.645877 args_parse_flag_argument: -N = Break pane to a new window
1788664305.645879 args_parse_flags: next !
1788664305.645880 args_parse: flags end at 3 of 5
1788664305.645881 args_parse: 3 = ! (type STRING)
1788664305.645883 args_parse: 4 = break-pane (type COMMANDS)
1788664305.645886 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1788664305.645888 cmdq_get_command: [bind-key/0x55cc01288a90] group 38
1788664305.645889 cmdq_append <global>: [bind-key/0x55cc01288a90]
1788664305.645891 yylex_token: end at WS
1788664305.645892 yylex_token: bind
1788664305.645893 yylex_token: end at WS
1788664305.645895 yylex_token: -N
1788664305.645896 yylex_token: end at WS
1788664305.645898 yylex_token: Split window vertically
1788664305.645899 yylex_token: end at WS
1788664305.645900 yylex_token: "
1788664305.645902 yylex_token: end at WS
1788664305.645903 yylex_token: split-window
1788664305.645905 cmd_parse_build_commands 0:0: bind
1788664305.645906 cmd_parse_build_commands 0:1: -N
1788664305.645908 cmd_parse_build_commands 0:2: Split window vertically
1788664305.645909 cmd_parse_build_commands 0:3: "
1788664305.645911 cmd_parse_build_commands 0:4 0:0: split-window
1788664305.645912 cmd_parse_build_commands 0:0: split-window
1788664305.645915 args_parse: flags end at 1 of 1
1788664305.645916 cmd_parse_build_commands: split-window
1788664305.645918 args_parse_flags: next -N
1788664305.645919 args_parse_flag_argument: -N = Split window vertically
1788664305.645921 args_parse_flags: next "
1788664305.645922 args_parse: flags end at 3 of 5
1788664305.645924 args_parse: 3 = " (type STRING)
1788664305.645925 args_parse: 4 = split-window (type COMMANDS)
1788664305.645930 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1788664305.645932 cmdq_get_command: [bind-key/0x55cc01289020] group 46
1788664305.645933 cmdq_append <global>: [bind-key/0x55cc01289020]
1788664305.645935 yylex_token: end at WS
1788664305.645938 yylex_token: bind
1788664305.645940 yylex_token: end at WS
1788664305.645941 yylex_token: -N
1788664305.645942 yylex_token: end at WS
1788664305.645944 yylex_token: List all paste buffers
1788664305.645945 yylex_token: end at WS
1788664305.645947 yylex_token: #
1788664305.645948 yylex_token: end at WS
1788664305.645949 yylex_token: list-buffers
1788664305.645951 cmd_parse_build_commands 0:0: bind
1788664305.645953 cmd_parse_build_commands 0:1: -N
1788664305.645954 cmd_parse_build_commands 0:2: List all paste buffers
1788664305.645955 cmd_parse_build_commands 0:3: #
1788664305.645957 cmd_parse_build_commands 0:4 0:0: list-buffers
1788664305.645959 cmd_parse_build_commands 0:0: list-buffers
1788664305.645960 args_parse: flags end at 1 of 1
1788664305.645962 cmd_parse_build_commands: list-buffers
1788664305.645963 args_parse_flags: next -N
1788664305.645965 args_parse_flag_argument: -N = List all paste buffers
1788664305.645966 args_parse_flags: next #
1788664305.645968 args_parse: flags end at 3 of 5
1788664305.645969 args_parse: 3 = # (type STRING)
1788664305.645971 args_parse: 4 = list-buffers (type COMMANDS)
1788664305.645973 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1788664305.645975 cmdq_get_command: [bind-key/0x55cc01289500] group 54
1788664305.645977 cmdq_append <global>: [bind-key/0x55cc01289500]
1788664305.645978 yylex_token: end at WS
1788664305.645980 yylex_token: bind
1788664305.645981 yylex_token: end at WS
1788664305.645982 yylex_token: -N
1788664305.645984 yylex_token: end at WS
1788664305.645985 yylex_token: Rename current session
1788664305.645987 yylex_token: end at WS
1788664305.645988 yylex_token: $
1788664305.645989 yylex_token: end at WS
1788664305.645991 yylex_token: command-prompt
1788664305.645992 yylex_token: end at WS
1788664305.645993 yylex_token: -I#S
1788664305.645995 yylex_token: end at WS
1788664305.645996 yylex_token: rename-session
1788664305.645998 yylex_token: end at WS
1788664305.645999 yylex_token: --
1788664305.646000 yylex_token: end at WS
1788664305.646002 yylex_token: %%
1788664305.646004 cmd_parse_build_commands 0:0: bind
1788664305.646005 cmd_parse_build_commands 0:1: -N
1788664305.646006 cmd_parse_build_commands 0:2: Rename current session
1788664305.646008 cmd_parse_build_commands 0:3: $
1788664305.646009 cmd_parse_build_commands 0:4 0:0: command-prompt
1788664305.646011 cmd_parse_build_commands 0:4 0:1: -I#S
1788664305.646012 cmd_parse_build_commands 0:4 0:2 0:0: rename-session
1788664305.646014 cmd_parse_build_commands 0:4 0:2 0:1: --
